"continent","location","max","max-2","recovery_rate"
"Asia","Tajikistan","17786",125,"0.99"
"North America","Greenland","11971",21,"1.00"
"Africa","Somalia","27334",1361,"0.95"
"Asia","Turkey","17004677",101419,"0.99"
"Africa","Gambia","12626",372,"0.97"
"Asia","Syria","57423",3163,"0.94"
"Asia","Kyrgyzstan","206888",2991,"0.99"
"Asia","Northern Cyprus",NULL,NULL,NULL
"South America","Argentina","10044957",130472,"0.99"
"Oceania","Niue","747",NULL,NULL
"Africa","Togo","39487",290,"0.99"
"Oceania","Cook Islands","7062",2,"1.00"
"Europe","Russia","22858855",398366,"0.98"
"Africa","Namibia","171222",4090,"0.98"
"Africa","Rwanda","133194",1468,"0.99"
"Asia","Uzbekistan","253009",1637,"0.99"
"Europe","Estonia","618173",3001,"1.00"
"Asia","Oman","399449",4628,"0.99"
"Oceania","Samoa","16737",31,"1.00"
"Africa","Saint Helena","2166",NULL,NULL
"Africa","Ethiopia","500837",7574,"0.98"
"Europe","Guernsey","35326",67,"1.00"
"Africa","Djibouti","15690",189,"0.99"
"North America","Saint Vincent and the Grenadines","9611",124,"0.99"
"Oceania","Palau","5999",9,"1.00"
"Africa","Eritrea","10189",103,"0.99"
"South America","Chile","5283908",64497,"0.99"
"Oceania","Marshall Islands","16081",17,"1.00"
"Europe","Slovenia","1343485",9304,"0.99"
"North America","Trinidad and Tobago","191350",4387,"0.98"
"Asia","Hong Kong",NULL,NULL,NULL
"Africa","Niger","9513",315,"0.97"
"Asia","Pakistan","1580631",30656,"0.98"
"North America","Antigua and Barbuda","9106",146,"0.98"
"South America","Suriname","82495",1404,"0.98"
"Asia","Taiwan",NULL,NULL,NULL
"Africa","Burundi","53740",15,"1.00"
"Oceania","Tuvalu","2779",NULL,NULL
"Africa","Zimbabwe","264685",5686,"0.98"
"Africa","Equatorial Guinea","17130",183,"0.99"
"North America","Costa Rica","1228659",9351,"0.99"
"Europe","Montenegro","289292",2808,"0.99"
"Europe","Andorra","47974",159,"1.00"
"North America","Saint Pierre and Miquelon","3426",2,"1.00"
"Oceania","American Samoa","8329",34,"1.00"
"North America","Aruba","44114",287,"0.99"
"South America","Peru","4501130",220122,"0.95"
"Asia","Malaysia","5071840",37020,"0.99"
"South America","French Guiana","98041",413,"1.00"
"Africa","Lesotho","34490",706,"0.98"
"Europe","Bulgaria","1304393",38328,"0.97"
"Asia","Iran","7607744",146058,"0.98"
"Europe","Switzerland","4402432",13995,"1.00"
"North America","Montserrat","1403",8,"0.99"
"Africa","Botswana","329852",2796,"0.99"
"Africa","Mauritania","63617",997,"0.98"
"Oceania","Pitcairn","4",NULL,NULL
"North America","Dominica","15760",74,"1.00"
"Europe","Norway","1483222",5435,"1.00"
"Europe","Ireland","1710302",8849,"0.99"
"Africa","Ghana","171653",1462,"0.99"
"Asia","Macao",NULL,NULL,NULL
"Europe","Slovakia","1866470",21167,"0.99"
"Africa","Angola","105384",1934,"0.98"
"Europe","Netherlands","8610372",22992,"1.00"
"Asia","Brunei","288051",157,"1.00"
"Asia","Yemen","11945",2159,"0.82"
"Africa","Cote d'Ivoire","88325",834,"0.99"
"Europe","Czechia","4640354",42767,"0.99"
"North America","Turks and Caicos Islands","6565",38,"0.99"
"Africa","Sao Tome and Principe","6562",80,"0.99"
"Europe","Malta","118524",835,"0.99"
"South America","Venezuela","552578",5856,"0.99"
"Oceania","Micronesia (country)","26080",64,"1.00"
"North America","Saint Barthelemy","5486",5,"1.00"
"Oceania","Australia","11210651",20119,"1.00"
"Europe","San Marino","24132",125,"0.99"
"Asia","Bhutan","62666",21,"1.00"
"Asia","Mongolia","1007970",2136,"1.00"
"North America","Bonaire Sint Eustatius and Saba","11885",41,"1.00"
"Africa","South Sudan","18368",138,"0.99"
"Europe","Spain","13825052",120715,"0.99"
"Africa","Kenya","343060",5688,"0.98"
"Oceania","Tokelau","5",NULL,NULL
"Africa","Egypt","515970",24826,"0.95"
"South America","Bolivia","1197239",22377,"0.98"
"Europe","Portugal","5581619",26575,"1.00"
"Africa","Liberia","8090",294,"0.96"
"Europe","Luxembourg","319959",1232,"1.00"
"Oceania","Vanuatu","12016",14,"1.00"
"Africa","South Africa","4072533",102595,"0.97"
"Africa","Algeria","271719",6881,"0.97"
"Europe","United Kingdom","24581706",224106,"0.99"
"Asia","Singapore","2368597",1722,"1.00"
"Asia","Turkmenistan",NULL,NULL,NULL
"Africa","Cape Verde","63473",413,"0.99"
"Europe","Ukraine","5529459",112128,"0.98"
"Europe","Faeroe Islands","34658",28,"1.00"
"Asia","Palestine","703228",5708,"0.99"
"Africa","Mayotte","42027",187,"1.00"
"North America","Grenada","19693",238,"0.99"
"Europe","Moldova","620253",12112,"0.98"
"Europe","Germany","38403667",173044,"1.00"
"Europe","Sweden","2706122",24070,"0.99"
"Africa","Chad","7820",194,"0.98"
"Asia","Nepal","1003004",12030,"0.99"
"Oceania","Nauru","5393",1,"1.00"
"Africa","Congo","25192",389,"0.98"
"Europe","Jersey","66391",161,"1.00"
"North America","Saint Lucia","30052",409,"0.99"
