"continent","location","correlation"
"Europe","Andorra","-0.19666438247924933"
"South America","Venezuela","-0.19569645077146025"
"North America","Turks and Caicos Islands","-0.18292905039383944"
"South America","Paraguay","-0.18079951276104758"
"Africa","Rwanda","-0.1805143666395278"
"Africa","Eswatini","-0.16740810215787835"
"Africa","Nigeria","-0.16629160368003576"
"Africa","Burkina Faso","-0.16365253219028864"
"Europe","Albania","-0.16329065772265214"
"Oceania","Papua New Guinea","-0.16214324350196296"
"Asia","Armenia","-0.15909641910518543"
"Africa","Namibia","-0.15455088611664028"
"North America","British Virgin Islands","-0.15295267564579637"
"Europe","Sweden","-0.15159603411274702"
"Africa","Gabon","-0.1515726655762135"
"Asia","Azerbaijan","-0.14558936446126397"
"Europe","Greece","-0.14517240307924448"
"Africa","Sierra Leone","-0.1416511013790318"
"Asia","Kazakhstan","-0.13993835265754268"
"Europe","Malta","-0.1370249137715405"
"Africa","Democratic Republic of Congo","-0.13486697198559464"
"North America","Haiti","-0.12919819788267695"
"Europe","Latvia","-0.1279624921715987"
"Africa","Guinea","-0.12706889474250724"
"Europe","Russia","-0.12290795929848189"
"Africa","Gambia","-0.10987667427196385"
"North America","Canada","-0.10625001438037081"
"Africa","Ethiopia","-0.10405024313650717"
"Africa","Uganda","-0.10203039889290128"
"Africa","Chad","-0.09975740327094705"
"Europe","Slovenia","-0.09687533150075667"
"Europe","Romania","-0.0816638408635384"
"Asia","Oman","-0.07851537334778136"
"South America","Ecuador","-0.07634289184292074"
"Africa","Malawi","-0.0742874046050029"
"Africa","Burundi","-0.07313157561499337"
"Europe","Liechtenstein","-0.06929811589106924"
"Africa","Sudan","-0.06888488377083125"
"Europe","Moldova","-0.052661660620112793"
"North America","Bahamas","-0.047291249100618056"
"Asia","Sri Lanka","-0.04336482734007518"
"Europe","Spain","-0.04072943474018213"
"South America","Chile","-0.03930308799921132"
"North America","Trinidad and Tobago","-0.037122886944663605"
"North America","Aruba","-0.03509016043656334"
"Asia","Maldives","-0.030249842304779947"
"North America","Saint Vincent and the Grenadines","-0.023102138294548463"
"Asia","Saudi Arabia","-0.021443368944055127"
"Oceania","French Polynesia","-0.020859506012715835"
"Africa","Equatorial Guinea","-0.016323867958641054"
"North America","Grenada","0.008058213639236348"
"North America","Guatemala","0.02007575552773803"
"North America","Sint Maarten (Dutch part)","0.021588768357120574"
"South America","Suriname","0.02365759596975042"
"North America","Saint Lucia","0.026571436339612797"
"Asia","Philippines","0.030668002975326732"
"Africa","Mauritius","0.04567776285809295"
"Asia","Mongolia","0.04904354699034548"
"Africa","Congo","0.05096968751884237"
"Asia","Georgia","0.05266060189400504"
"North America","El Salvador","0.074934020094922"
"Europe","North Macedonia","0.08633513811391968"
"Africa","Sao Tome and Principe","0.08696583588264038"
"Asia","Laos","0.09177129673140698"
"Africa","Cote d'Ivoire","0.09896171793938385"
"Europe","Denmark","0.10197553383151567"
"North America","Antigua and Barbuda","0.10667949341808615"
"Europe","San Marino","0.11507979851270705"
"Africa","Morocco","0.14069337276006857"
"Europe","Isle of Man","0.14423038186814152"
"Europe","Norway","0.1498304913821971"
"Africa","Senegal","0.1512009768782426"
"North America","Montserrat","0.15579742273741365"
"Africa","Seychelles","0.16890001093512025"
"North America","Bermuda","0.17493662379282235"
"Asia","Palestine","0.1772219160958061"
"Asia","China","0.18714233005533903"
"North America","Belize","0.19073351380519477"
"Europe","Bosnia and Herzegovina","0.19166629719880254"
"North America","Barbados","0.20754983369369231"
"Africa","Comoros","0.22997008899326438"
"Asia","Singapore","0.24381257244105364"
"Europe","Faeroe Islands","0.2569478589298783"
"Europe","Cyprus","0.26499589227610554"
"North America","Greenland","0.2772011460970124"
"North America","Saint Kitts and Nevis","0.2794821086100419"
"Europe","Ukraine","0.28986268085234557"
"Oceania","New Zealand","0.2900110141695706"
"Asia","Bhutan","0.30404654443121715"
"Asia","Brunei","0.30937076709570993"
"North America","Cayman Islands","0.3199416376732207"
"Asia","Japan","0.3458226528377011"
"Europe","Serbia","0.3549038815087018"
"Europe","Guernsey","0.3782440782986707"
"Oceania","Kiribati","0.38839281303170525"
"Europe","Jersey","0.39324249071179174"
"Oceania","Australia","0.40005145073515547"
"Asia","South Korea","0.40661605626274305"
"Europe","Hungary","0.4189249852388813"
"Oceania","Cook Islands","0.4327883143738858"
"Europe","Iceland","0.44030957224096545"
"Europe","Finland","0.4428345634374215"
"Oceania","Nauru",NULL
"Oceania","Niue",NULL
"South America","Falkland Islands",NULL
"North America","Bonaire Sint Eustatius and Saba",NULL
"Oceania","Pitcairn",NULL
"Oceania","Tuvalu",NULL
"Europe","Scotland",NULL
"Asia","Macao",NULL
"Europe","Wales",NULL
"Oceania","Wallis and Futuna",NULL
"Asia","Northern Cyprus",NULL
"Asia","Taiwan",NULL
"Europe","England",NULL
"Oceania","Tokelau",NULL
"Asia","Hong Kong",NULL
"Africa","Saint Helena",NULL
"Asia","Turkmenistan",NULL
"Europe","Northern Ireland",NULL
